,id,station_id,time,temperature,pressure,humidity,wind_speed,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,Cloudy,Hail,Light Rain,Overcast,Rain,Sleet,Sunny/clear,Thundershower
0,2050685,shunyi_meo,2018-04-01 17:00:00,0.5928571428571429,0.6118181818181814,0.71,0.075,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2050686,hadian_meo,2018-04-01 17:00:00,0.55,0.5899999999999997,0.71,0.0625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2050687,yanqing_meo,2018-04-01 17:00:00,0.5314285714285715,0.13272727272727294,0.49,0.04375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2050688,miyun_meo,2018-04-01 17:00:00,0.55,0.5681818181818182,0.75,0.025,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2050689,huairou_meo,2018-04-01 17:00:00,0.5885714285714286,0.5654545454545459,0.69,0.0625,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2050690,shangdianzi_meo,2018-04-01 17:00:00,0.6042857142857142,0.33181818181818185,0.55,0.29375,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6,2050691,pinggu_meo,2018-04-01 17:00:00,0.61,0.6118181818181814,0.66,0.21875,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2050692,tongzhou_meo,2018-04-01 17:00:00,0.5628571428571428,0.6218181818181816,0.81,0.1125,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2050693,chaoyang_meo,2018-04-01 17:00:00,0.6142857142857143,0.6036363636363634,0.57,0.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,2050694,pingchang_meo,2018-04-01 17:00:00,0.5728571428571428,0.5618181818181814,0.53,0.05625,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10,2050695,zhaitang_meo,2018-04-01 17:00:00,0.5542857142857143,0.18090909090909071,0.33,0.04375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2050696,mentougou_meo,2018-04-01 17:00:00,0.5557142857142857,0.55,0.57,0.03125,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12,2050697,beijing_meo,2018-04-01 17:00:00,0.6242857142857143,0.6054545454545457,0.36,0.075,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13,2050698,shijingshan_meo,2018-04-01 17:00:00,0.5557142857142857,0.5718181818181816,0.55,0.0375,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
14,2050699,fengtai_meo,2018-04-01 17:00:00,0.5842857142857143,0.5799999999999996,0.53,0.05625,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
15,2050700,daxing_meo,2018-04-01 17:00:00,0.5671428571428572,0.5981818181818178,0.49,0.0875,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
16,2050701,fangshan_meo,2018-04-01 17:00:00,0.5685714285714285,0.5872727272727275,0.44,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2050702,xiayunling_meo,2018-04-01 17:00:00,0.5399999999999999,0.21727272727272706,0.43,0.075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,2052218,shunyi_meo,2018-04-01 18:00:00,0.5828571428571429,0.6109090909090913,0.74,0.0625,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2052219,hadian_meo,2018-04-01 18:00:00,0.5685714285714285,0.5881818181818186,0.64,0.08125,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,2052220,yanqing_meo,2018-04-01 18:00:00,0.5257142857142857,0.1299999999999996,0.51,0.0625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2052221,miyun_meo,2018-04-01 18:00:00,0.5285714285714286,0.5654545454545459,0.8,0.075,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,2052222,huairou_meo,2018-04-01 18:00:00,0.5628571428571428,0.5618181818181814,0.76,0.125,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
23,2052223,shangdianzi_meo,2018-04-01 18:00:00,0.6128571428571429,0.3281818181818184,0.52,0.3625,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24,2052224,pinggu_meo,2018-04-01 18:00:00,0.6014285714285714,0.6090909090909091,0.68,0.225,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,2052225,tongzhou_meo,2018-04-01 18:00:00,0.5585714285714286,0.6190909090909092,0.82,0.15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2052226,chaoyang_meo,2018-04-01 18:00:00,0.5828571428571429,0.6027272727272723,0.73,0.13125,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2052227,pingchang_meo,2018-04-01 18:00:00,0.5571428571428572,0.5600000000000002,0.54,0.03125,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
28,2052228,zhaitang_meo,2018-04-01 18:00:00,0.5242857142857144,0.1790909090909095,0.38,0.01875,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
29,2052229,mentougou_meo,2018-04-01 18:00:00,0.5428571428571428,0.5481818181818178,0.52,0.1125,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
30,2052230,beijing_meo,2018-04-01 18:00:00,0.6028571428571429,0.6036363636363634,0.45,0.0125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,2052231,shijingshan_meo,2018-04-01 18:00:00,0.5514285714285715,0.5700000000000004,0.57,0.01875,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,2052232,fengtai_meo,2018-04-01 18:00:00,0.56,0.5790909090909095,0.63,0.03125,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
33,2052233,daxing_meo,2018-04-01 18:00:00,0.5528571428571429,0.5963636363636365,0.54,0.05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,2052234,fangshan_meo,2018-04-01 18:00:00,0.5342857142857143,0.5863636363636363,0.59,0.10625,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2052235,xiayunling_meo,2018-04-01 18:00:00,0.5342857142857143,0.21363636363636362,0.43,0.05625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36,2053751,shunyi_meo,2018-04-01 19:00:00,0.57,0.6090909090909091,0.78,0.0375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,2053752,hadian_meo,2018-04-01 19:00:00,0.5714285714285714,0.5872727272727275,0.69,0.10625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2053753,yanqing_meo,2018-04-01 19:00:00,0.5242857142857144,0.1281818181818184,0.53,0.06875,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
39,2053754,miyun_meo,2018-04-01 19:00:00,0.5171428571428572,0.5654545454545459,0.86,0.025,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,2053755,huairou_meo,2018-04-01 19:00:00,0.5771428571428571,0.5600000000000002,0.71,0.0625,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
41,2053756,shangdianzi_meo,2018-04-01 19:00:00,0.6185714285714285,0.3290909090909095,0.49,0.2625,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
42,2053757,pinggu_meo,2018-04-01 19:00:00,0.5928571428571429,0.6054545454545457,0.69,0.20625,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,2053758,tongzhou_meo,2018-04-01 19:00:00,0.55,0.6154545454545459,0.86,0.16875,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
44,2053759,chaoyang_meo,2018-04-01 19:00:00,0.5585714285714286,0.6009090909090912,0.81,0.0625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,2053760,pingchang_meo,2018-04-01 19:00:00,0.5514285714285715,0.5590909090909091,0.56,0.03125,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
46,2053761,zhaitang_meo,2018-04-01 19:00:00,0.51,0.1790909090909095,0.41,0.01875,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2053762,mentougou_meo,2018-04-01 19:00:00,0.5542857142857143,0.5472727272727277,0.51,0.15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
48,2053763,beijing_meo,2018-04-01 19:00:00,0.5728571428571428,0.6009090909090912,0.68,0.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,2053764,shijingshan_meo,2018-04-01 19:00:00,0.5385714285714286,0.5690909090909093,0.61,0.01875,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
50,2053765,fengtai_meo,2018-04-01 19:00:00,0.5471428571428572,0.5781818181818184,0.61,0.04375,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
51,2053766,daxing_meo,2018-04-01 19:00:00,0.5385714285714286,0.5936363636363632,0.59,0.05625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,2053767,fangshan_meo,2018-04-01 19:00:00,0.5357142857142857,0.5836363636363641,0.59,0.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,2053768,xiayunling_meo,2018-04-01 19:00:00,0.5171428571428572,0.21090909090909132,0.46,0.06875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,2055284,shunyi_meo,2018-04-01 20:00:00,0.5542857142857143,0.6054545454545457,0.82,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
